City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
529,Zhanaozen,KZ,84.54,clear sky,43.3,52.8,K.korabay 28A
531,Qufu,CN,79.16,overcast clouds,35.5967,116.9911,Qufu International Youth Hostel
537,Bemidji,US,86.05,broken clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
539,Mayo,US,89.71,few clouds,38.8876,-76.5119,Resorts Resource Group International
541,Ixtapa,MX,88.23,few clouds,20.7,-105.2,hotel la terminal
543,Gouyave,GD,77.77,broken clouds,12.1646,-61.7296,Rumboat Retreat
544,Axim,GH,75.58,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
551,Ayia Galini,GR,77.85,clear sky,35.1,24.6833,Sunningdale Bungalows
552,Waddan,LY,79.39,clear sky,29.1614,16.139,محل الشريف محمد العايب
554,Bongor,TD,75.69,moderate rain,10.2806,15.3722,Oryx Palace
556,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
557,Djambala,CG,76.6,scattered clouds,-2.5447,14.7533,Hotel Ravin D'or
560,Lahaina,US,84.2,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
566,Morgan City,US,88.45,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
568,Halifax,CA,76.48,broken clouds,44.6453,-63.5724,Hotel Halifax
569,Freeport,US,86.31,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
570,Onex,CH,76.86,clear sky,46.1833,6.1,"Crowne Plaza Geneva, an IHG Hotel"
575,Presidente Medici,BR,89.67,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
578,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
583,Tezu,IN,78.3,few clouds,27.9167,96.1667,Circuit House
584,La Ronge,CA,82.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
586,Lexington,US,89.6,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
590,Krasnyy Yar,RU,75.13,clear sky,46.5331,48.3456,Cottege near Ufa
591,Zulueta,ES,78.42,clear sky,42.7451,-1.5793,Hotel Pamplona Cross Elorz
592,Port Blair,IN,77.04,thunderstorm with rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
593,Estelle,US,89.01,few clouds,29.8458,-90.1067,Ohio
594,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
595,Awbari,LY,84.6,clear sky,26.5921,12.7805,فندق أوباري
597,Dryden,CA,82.69,clear sky,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
601,Kharagpur,IN,80.37,scattered clouds,22.3333,87.3333,Guin Bros Lodge
605,Valdosta,US,89.55,few clouds,30.8327,-83.2785,Courtyard by Marriott Valdosta
606,Polson,US,80.73,scattered clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
607,Kolda,SN,80.19,overcast clouds,12.8833,-14.95,Hôtel Hobbe Chasse
608,Erenhot,CN,75.02,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
612,Laramie,US,80.98,few clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
624,Shelburne,CA,77.31,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
625,Oriximina,BR,84.06,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
626,Campina Verde,BR,77.31,scattered clouds,-19.5356,-49.4864,Hotel Lino
631,San Felipe,VE,83.64,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
632,Viseu,PT,75.85,scattered clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
633,Manokwari,ID,78.15,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
637,Cefalu,IT,80.55,clear sky,38.0386,14.0229,Hotel La Giara
644,Agua Dulce,MX,85.82,overcast clouds,18.1333,-94.1333,Hotel Victoria
652,Samarai,PG,76.41,overcast clouds,-10.6167,150.6667,Nuli Sapi
653,Lakatoro,VU,77.65,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
656,Bhadrapur,NP,82.08,clear sky,26.544,88.0944,Greencity
661,Kilakarai,IN,82.53,overcast clouds,9.2333,78.7833,Kilakarai Home Stays
663,Cape Coast,GH,75.83,light rain,5.1053,-1.2466,Samrit Hotel
664,La Rioja,ES,78.58,clear sky,42.25,-2.5,Casa Concejos
665,Buluang,PH,77.99,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
666,Tshikapa,CD,81.59,broken clouds,-6.4167,20.8,Tatem beach
667,Muncar,ID,75.4,broken clouds,-8.4333,114.3333,Zaky Homestay
668,Ugoofaaru,MV,81.54,broken clouds,5.6667,73.0,Ungoofaaru Inn
670,Hanzhong,CN,75.51,very heavy rain,33.0728,107.0303,Guorui Hotel
671,Tumpat,MY,77.02,few clouds,6.1978,102.171,Baan Tanyong B&B
674,Samba,IN,79.72,overcast clouds,32.5667,75.1167,Sumit Sharma
