City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
215,Malakal,SS,9.5334,31.6605,70.34,89,85,3.2,overcast clouds
216,Calvinia,ZA,-31.4707,19.776,55.47,40,59,7.47,broken clouds
217,Lebedinyy,RU,58.5167,125.5167,68.02,73,96,5.46,overcast clouds
218,Ekhabi,RU,53.5102,142.9671,57.51,80,100,12.35,overcast clouds
219,Talnakh,RU,69.4865,88.3972,52.21,70,8,1.57,clear sky
220,Hirara,JP,24.8,125.2833,84.43,83,100,14.94,overcast clouds
221,Clyde River,CA,70.4692,-68.5914,57.43,41,0,20.71,clear sky
222,Orlik,RU,52.5178,99.825,37.96,94,24,0.31,few clouds
223,Boguchany,RU,58.3814,97.4531,49.33,87,54,1.14,broken clouds
224,Tucurui,BR,-3.7661,-49.6725,81.95,68,100,0.56,overcast clouds
225,Lake Charles,US,30.2131,-93.2044,94.01,57,75,6.91,broken clouds
226,Seymchan,RU,62.8833,152.4333,75.7,43,53,3.67,broken clouds
227,Tommot,RU,58.9564,126.2925,68.36,88,56,2.17,broken clouds
228,Provideniya,RU,64.3833,-173.3,47.8,68,79,1.32,broken clouds
229,Saldanha,ZA,-33.0117,17.9442,57.25,77,100,8.48,overcast clouds
230,Lorengau,PG,-2.0226,147.2712,80.08,78,91,9.95,overcast clouds
231,Burnie,AU,-41.0667,145.9167,47.95,90,100,10.27,light rain
232,Ketchikan,US,55.3422,-131.6461,55.87,94,100,10.36,mist
233,Iglesias,IT,39.3114,8.535,80.02,62,0,3.47,clear sky
234,Shizunai,JP,42.3339,142.3669,65.1,85,100,10.98,moderate rain
235,Norman Wells,CA,65.282,-126.8329,57.24,58,75,4.61,broken clouds
236,Nanzhou,CN,29.3596,112.4024,80.67,80,100,9.28,overcast clouds
237,Pingliang,CN,35.5392,106.6861,64.76,83,100,15.28,light rain
238,Touros,BR,-5.1989,-35.4608,75.51,87,28,14.67,scattered clouds
239,Lyantonde,UG,-0.4031,31.1572,70.43,57,100,3.96,overcast clouds
240,Imeni Poliny Osipenko,RU,52.4201,136.4853,62.29,91,13,6.04,few clouds
241,Qostanay,KZ,53.1667,63.5833,68.29,83,100,17.9,thunderstorm with light rain
242,Diffa,NE,13.3154,12.6113,78.3,73,100,3.56,overcast clouds
243,Namibe,AO,-15.1961,12.1522,65.68,94,30,3.58,scattered clouds
244,Lata,PT,40.1629,-8.3327,67.35,75,25,2.55,scattered clouds
245,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,8.05,shower rain
246,Mahebourg,MU,-20.4081,57.7,68.29,88,75,12.66,broken clouds
247,Guerrero Negro,MX,27.9769,-114.0611,77.07,58,10,17.31,clear sky
248,Jose De Freitas,BR,-4.7564,-42.5756,88.75,50,100,4.29,overcast clouds
249,Abonnema,NG,4.7084,6.7931,75.72,83,98,5.82,overcast clouds
250,Rio Grande,BR,-32.035,-52.0986,66.31,98,69,11.43,broken clouds
251,Mount Isa,AU,-20.7333,139.5,44.37,57,0,3.44,clear sky
252,Malanje,AO,-9.5402,16.341,66.72,32,0,1.86,clear sky
253,Moron,AR,-34.6534,-58.6198,51.96,99,89,8.01,overcast clouds
254,Olafsvik,IS,64.8945,-23.7142,50.76,89,100,14.34,light rain
255,Inuvik,CA,68.3499,-133.7218,54.46,60,75,8.05,broken clouds
256,Chik,RU,54.9928,82.4311,51.55,100,66,0.0,broken clouds
257,Hambantota,LK,6.1241,81.1185,78.76,81,96,16.96,overcast clouds
258,Adrar,MR,20.5022,-10.0711,100.83,15,18,8.7,few clouds
259,Maksi,IN,23.2667,76.15,74.91,94,100,12.06,light rain
260,Milkovo,RU,54.7167,158.6167,66.79,74,46,5.46,scattered clouds
261,Bugiri,UG,0.5714,33.7417,67.12,75,94,0.27,overcast clouds
262,Seoul,KR,37.5683,126.9778,74.77,88,75,3.44,mist
263,Banyo,CM,6.75,11.8167,65.84,96,99,1.68,light rain
264,Takoradi,GH,4.8845,-1.7554,75.6,88,87,11.56,light rain
265,Pompeia,BR,-22.1086,-50.1717,75.13,34,77,5.3,broken clouds
266,Coquimbo,CL,-29.9533,-71.3436,53.33,66,75,4.61,broken clouds
267,Dong Hoi,VN,17.4833,106.6,79.34,88,32,3.24,scattered clouds
268,San Quintin,MX,30.4833,-115.95,73.63,66,2,13.04,clear sky
269,Ikere,NG,7.4913,5.2322,70.59,98,91,5.12,overcast clouds
270,Aksu,CN,41.1231,80.2644,71.55,49,63,2.01,broken clouds
271,Niamey,NE,13.5137,2.1098,88.09,48,20,13.8,thunderstorm
